product_i,name_i,product_j,name_j,weighted_similarity
3925,Plastics: builders' ware,4819,"Paper and paperboard: cartons, folding cartons, sacks and bags of paper, sacks and bags, packing containers and box files",0.9145
8437,Machines and Machinery,8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",0.9144
8302,"Hinges, Castors, Mountings, fittings and similar articles, Hat-racks, hat-pegs, brackets and similar fixtures, of base metal and Automatic door closures",8708,"Vehicles, Vehicle parts and Vehicle parts and accessories",0.9142
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8480,"Moulding boxes, Mould bases, Moulding patterns and Moulds",0.9134
8422,Dish washing machines and Machinery,8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9124
7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",8207,"Tools, interchangeable: rock drilling or earth boring tools and (for machine or hand tools, whether or not power-operated)",0.9123
8465,"Machine-tools: for working wood, cork, bone, hard rubber",8479,"Machinery and mechanical appliances, Machinery, Machines and Machines and mechanical appliances",0.9113
3925,Plastics: builders' ware,4016,"Rubber: vulcanised, mats, gaskets, erasers and other moulded articles",0.9094
8426,Cranes and Cranes and derricks,8437,Machines and Machinery,0.9094
8462,"Machine-tools: forging or die-stamping machines (including presses) and hammers, bending, and others",8486,"Machines for semiconductor, flat panel display and mask manufacture",0.9079
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8466,Machine-tools: parts and accessories,0.9061
8409,"Engines: parts of aircraft engines (spark-ignition reciprocating or rotary internal combustion piston engines), parts, and others",8465,"Machine-tools: for working wood, cork, bone, hard rubber",0.906
7308,"Iron or steel: structures and parts (bridges, towers, doors, scaffolding)",7326,"Iron or steel: grinding balls and similar articles for mills, articles and wire articles",0.9054
8529,Aerials and parts for transmission or reception apparatus,9032,Regulating or controlling instruments and apparatus: automatic type and automatic,0.9045
8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",8477,"Machinery: injection-moulding machines, extruders, blow moulding machines, and others",0.904
3925,Plastics: builders' ware,3926,"Plastics: office or school supplies, articles of apparel and clothing accessories (including gloves, mittens and mitts), and others",0.9029
8431,"Machinery, Lifts, skip hoists or escalators, Machinery parts and Boring or sinking machinery",8483,"Transmission shafts (including cam shafts and crank shafts) and cranks, Bearing housings, incorporating ball or roller bearings, and others",0.9027
7304,"Iron or steel: seamless tubes, pipes and casing",8437,Machines and Machinery,0.9025
8412,"Engines and motors: reaction, hydraulic and pneumatic power engines",8481,"Valves and Taps, cocks, valves and similar appliances",0.9024
7309,"Iron or steel reservoirs and tanks, over 300l",8426,Cranes and Cranes and derricks,0.9013
0305,Fish meal and Fish,4415,Wood: cases and pallets,0.8999
8421,Centrifuges and Machinery,8438,"Machinery: industrial, used in the industrial preparation or manufacture of food or drink, and others",0.8991
4821,Paper and paperboard: labels or all kinds and labels of all kinds,8442,Machinery and equipment for preparing or making printing components,0.8986
8428,"Lifts and skip hoists, Elevators and conveyors, Escalators and moving walkways, and others",8486,"Machines for semiconductor, flat panel display and mask manufacture",0.8974
